text	Trump	Biden	West	HOF
i went on a job site today all everybody was talking about was how realdonaldtrump destroyed sleepy joe last night. i would never have known all these people were for president trump. in philadelphia! silent no more, people are proudly admitting they are voting maga2020	Favor	Against	Neither	Hateful
when i talk, it's not a rant, it's a symphony of ideas is the most kanye west sentence of all time 	Neither	Neither	Neutral mentions	Non-Hateful
mzhemingway howardkurtz howardkurtz trump denied all the pee tape bs-you may be part of the problem	Neutral mentions	Neither	Neither	Non-Hateful
breaking: cindy mccain plans to endorse joe biden tomorrow, following the report that trump called our fallen soldiers losers and suckers. good. joeknowsus bidenharris2020 bluewave2020	Neutral mentions	Favor	Neither	Non-Hateful
this custody battle for america is so damn ghetto! trump just let go, you're deemed as unfit bro ! trumpmeltdown wednesdaythoughts bidenharris2020 votehimout pleasevote	Against	Favor	Neither	Non-Hateful
kamalaharris barackobama michaelb4jordan already voted. by mail. i tracked my ballot and it got to its destination and has been counted. bidenharris2020	Neither	Favor	Neither	Non-Hateful
realjameswoods biden voters need to be sent to china to see what dictatorship looks like	Neither	Neutral mentions	Neither	Non-Hateful
this is a pretty amazing (accidental) admission by trump that he expects to lose on november 3. 	Neutral mentions	Neither	Neither	Non-Hateful
trump has done what the libertarians have tried to do forever. create an effective and separate governing entity in us politics. trumpsgop	Favor	Neither	Neither	Non-Hateful
joe biden wrote law about upscaling the oppressive police force and kamala harris enforced it. i couldn't think of a better combo	Neither	Favor	Neither	Non-Hateful
the biggest threat to our nation dwells within the white house. vote biden. pass it on! bidenharris2020 	Against	Favor	Neither	Hateful
twitter is a service, not a right. kaylie spreading disinformation and lies about biden while working at the white house is a hatch act violation, against the law! lawandorderbiden 	Neither	Neutral mentions	Neither	Non-Hateful
libertarians, or the taliban might be more important to stop trying to provoke a future war with china, as that would be globe destroying. 	Neither	Neither	Neither	Non-Hateful
furoridanomaya roxdog2012 smastercuck restorethecrown blm supporters are convulsing and kvetching over the fact that these terrorists aren't right wing trump supporters. they cannot come up with a single fact other than hyperbole about militias are all on the right	Neutral mentions	Neither	Neither	Non-Hateful
marc lotter yes, when a reporter highlights the issue you're desperately dodging, the smart thing to do is to loudly call attention to it. reporters don't have the facts on trump's last negative test, thanks for screaming about it.	Neutral mentions	Neither	Neither	Non-Hateful
president elect joe biden and vice president elect kamala harris sounds so nice.	Neither	Favor	Neither	Non-Hateful
leftcoastlefty5 funnestbestest pence is the fly to irritate humans to death	Against	Neither	Neither	Non-Hateful
doj labels new york, portland and seattle 'anarchist jurisdictions' this president wants his errand boy barr to defund cities ironically if those cities quit paying taxes we might be able to defund doj! it's time for a new potus ag! voteblue2020 	Against	Favor	Neither	Non-Hateful
regrets! just wasted 20 valuable weekend minutes watching chriswallace can't get this time back. live and learn. foxnewslib attacking tomcottonar about scotus trump2020 realdonaldtrump foxnews foxnewssunday	Favor	Neither	Neither	Non-Hateful
ecwitit why is always trump with you guys. i can't stand trump. that doesn't mean that i going to let harris get a free pass.	Against	Neutral mentions	Neither	Non-Hateful
apscoggins fistofnietzsche bruhhh de rexchapman joe biden the alzheimer's patient and the giggling so called black woman. homey never lived in the hood brother she grew up in montreal. the devil doesn't even like kamala.. wait what did u say 4 years ago not my effin president. gotcha big boy!	Neither	Against	Neither	Hateful
this is a fresh response from bidencampaign it's a great way to respond to the tax dodging and military dodging current president. bidenharris2020 wontbealandslide trumptaxreturns ivankachinamadeshoes covid19 	Against	Favor	Neither	Non-Hateful
this nytimes story isn't even trending but it's one of the biggest stories out right now make sure you read it and share it!! please rt the thread trumpcrimefamily bidenharris2020 	Against	Favor	Neither	Hateful
bannerite voxdotcom we need leadership bidenharris2020 voteblue2020 	Neither	Favor	Neither	Non-Hateful
nytpolitics yeah, well americans are going to distance ourselves from republicans bluewave2020 bidenharris2020 gtfogop boom 	Neither	Favor	Neither	Non-Hateful
look at this comparison of jobgrowth numbers of the past presidents, going back decades. trump has lost jobs during his presidency because he lied about covid and ruined our economy. trump is not up to the job of being president. joebiden is! bidenharris2020 	Against	Favor	Neither	Non-Hateful
if you are okay with being dependent on a system you hate called socialism where the government decides for you and you are stuck .. vote for bidenharris. if you get it that independence is freedom, and american jobs and opportunity is how to do that .. vote for trump2020.	Favor	Against	Neither	Non-Hateful
realdonaldtrump people want respect for our constitution and the office of the president of the united states. the anthem and the flag are simply symbols of our democracy. you have spit on our values since the day you announced running for office. nfl players support our values. bidenharris	Against	Favor	Neither	Non-Hateful
israelfemialade same team. trump2020	Favor	Neither	Neither	Non-Hateful
sentedcruz newsmax this is a lie. texas republicans are currently sueing to end aca that protects preexisting conditions and they have no plan to replace it. ted voted yes to repeal aca in 2016. john mccain voted no and saved it. bidenharris2020	Neither	Favor	Neither	Non-Hateful
realdonaldtrump unf believable.. trumpknewanddidnothing trumpvirusdeathtoll210k bidenharris2020 bluewave	Against	Favor	Neither	Non-Hateful
baltimoresun who can say they've donated their salaries for a greater cause than themselves i didn't think so.. trump2020	Favor	Neither	Neither	Non-Hateful
trump must have stock in regeneron 	Against	Neither	Neither	Non-Hateful
cbsnews for once i agree with donnie biden2020 	Neither	Favor	Neither	Non-Hateful
ricksaccone4pa this is going to send a surge of energy, hope and determination across america! we can't rest till our president realdonaldtrump is re-elected! trump2020 maga veterans4trump pafortrump 	Favor	Neither	Neither	Non-Hateful
joe will b in hospital by nov3 - he is in no condition to do anything. they may give him a shot for the debate - but doubt there will be one - even then he wont last- it would expose him to the dems who still dont know how bad it is trump2020 	Favor	Against	Neither	Non-Hateful
my foreverflotus with a word about the upcoming election. take the 27 minutes or so and watch the entire speech. yourvoteyourvoice yourvotematters bidenharris2020 	Neither	Favor	Neither	Non-Hateful
matthedude 1) even if trump loses big and then immediately dies, the gop will not reverse their descent into madness in time for primary season 2024. 2) even if they nominate the ghost of john mccain, the seal is broken the pressure on nejmthe like to endorse biden will be huge.	Against	Favor	Neither	Non-Hateful
realjameswoods nedryun not good, democrats don't give a fuck about biden, they much prefer kamala. democrats will line up to impeach joe. winwin for them.	Neither	Mixed	Neither	Hateful
who won the debate today maga trump patriots americafirst kag magamedia maga2020 patriotsunited godblessamerica trump2020 blmprotest trumplandslidevictory2020 blm joebiden joebidenistheswamp liberalismisamentaldisorder 2020election 2020presidentialdebate	Favor	Against	Neither	Hateful
joebiden i'm in, rev. bidenharris2020	Neither	Favor	Neither	Non-Hateful
such very fine people speaking for trump 	Against	Neither	Neither	Non-Hateful
tried to have a chat with a conservative, it's impossible. trying to reason about basic human rights is pointless. i long for a world where ppl shouldn't have to fight for kindness, human decency, equality what i can do with my own damn body. bidenharris2020 notarepublican	Neither	Favor	Neither	Non-Hateful
jesusislord4god rikjam1 truth joebiden says a dolt who retweets trump and james woods. if they are your moral compass, you have bigger problems than worrying about biden. god bless. trumpmeltdown trumpisalaughingstock bidenharris2020	Against	Favor	Neither	Non-Hateful
jacksonville residents, do you want people in our city government that align with a trump sycophant who was willing to expose us to covid for political gain or do you want effective change by people that will work for you vote out all the people that associate with this guy 	Against	Neither	Neither	Hateful
trump rally. all inclusive. trumprally trump2020 bucksexton donaldjtrumpjr rubinreport stoolpresidente adamcarolla 	Neutral mentions	Neither	Neither	Non-Hateful
kamalaharris jillbiden46 you know what it is! i love this photo! they are dope bidenharris2020 bidenharristosaveamerica 	Neither	Favor	Neither	Non-Hateful
joe biden, kamala harris got a big social media boost from indian troll farms 	Neither	Neutral mentions	Neither	Non-Hateful
twatter man wiping clean all storiesanti trump stories. thats why its down. congress and 1st amendment coming for twatterman !	Neutral mentions	Neither	Neither	Non-Hateful
it occurs to me that without covid, trump could very well be cruising to reelection. that's how racist this country is.	Against	Neither	Neither	Non-Hateful
marshablackburn realdonaldtrump you really are a shameless and unrepentant liar. if you can look in the mirror without throwing up on your shoes, i'd be surprised. shutup. bidenharris2020	Against	Favor	Neither	Non-Hateful
realdonaldtrump it's today! the day i go to the polls and vote for joe biden and kamala harris 	Against	Favor	Neither	Non-Hateful
govmikehuckabee foxandfriends foxnews willcain petehegseth jedediahbila realdonaldtrump joe biden and his bitch kamala harris are bad for america and the world! recount the 2020 votes by hand under court supervision!	Neutral mentions	Against	Neither	Hateful
avengers assemble baby!! some of the avengers will reunite for joe biden and kamala harris 	Neither	Neutral mentions	Neither	Non-Hateful
trump had made a promise and he had broke it. biden will have a plan and he will keep the wheel rolling at the start of his presidency and beyond. bidenharris2020	Against	Favor	Neither	Non-Hateful
joe biden has an economic plan to help all americans. biden will not raise taxes on anyone making less than $400,000. he will raise the top individual income rate back to 39.6 percent. see more of joe's ideas here: buildbackbetter bidenharris2020	Neither	Favor	Neither	Non-Hateful
for all patriots ! drop your twitter handles and retweet!! follow everyone who follows you! let's all grow together as digital soldiers ! maga trump2020 trump2020landslide	Favor	Neither	Neither	Non-Hateful
sykescharlie i've never seen our country in worse straights. even during war or depression we had confidence in our leaders. there were statesmen in office. no longer. we need to get rid of the republican president senate! voteblue2020	Against	Favor	Neither	Non-Hateful
voting 101 in case you don't know howwhereetc. covers early voting and voting by mail. no paywall. biden2020	Neither	Favor	Neither	Non-Hateful
just another day in the press room. voteblue2020 	Neither	Favor	Neither	Non-Hateful
for the love of god, msm and the left, no one cares about potus taxes!!! he has donated his salary for the last 4 years!! can any democratic politician or president say the same.. nope! enoughisenough trump2020 walkawayfromdemocratsforever democratsaredestroyingamerica	Favor	Against	Neither	Non-Hateful
i will now sit back, enjoy the rest of my twitter feed, block liberal bleeding turdwhipes of all shapes, sizes, religions and ethnicities .. and when november 3 comes, i will vote republican down the whole ticket magadragtheinterstate maga2020 turnamericared2020	Favor	Neither	Neither	Hateful
realdonaldtrump democrats tried to stop trump from bringing our troops home this year. covid19 trump2020	Favor	Against	Neither	Non-Hateful
operationflagdrop trump2020 turnnyred cranewyorkstate flags have been used in wartime for centuries.. now we fly our flag because of our war with the radical left. filmed edited by dylan roth 	Favor	Neither	Neither	Non-Hateful
im almost at 1000 followers! yay! i love all the patriots who follow me! you all are incredible and i couldn't ask for better people to call my bothers and sisters! whether your in america or not, this patriot loves you! let's turn america red! trump2020	Favor	Neither	Neither	Non-Hateful
my son steven worked at fillmore's when he was in highschool. fillmore's also sponsored his little league baseball team. sorry i don't live in nky anymore amy so i can't vote for you but i have donated to your campaign. ditchmitch2020 voteblue2020 	Neither	Favor	Neither	Non-Hateful
oliverdarcy seanhannity you have the best news, lol. trump2020	Favor	Neither	Neither	Non-Hateful
thesharpedge1 joe biden is compromised. special counsel!!!	Neither	Against	Neither	Non-Hateful
brad dickson nope, keep on campaigning joe. biden2020	Neither	Favor	Neither	Non-Hateful
while we are here, this type of bs is what kamala harris and joe biden call science.	Neither	Against	Neither	Non-Hateful
nprpolitics npr this is the first time we've ever had a president this lacking in political and social decorum debates2020 bidenharris2020 votehimout2020	Against	Favor	Neither	Non-Hateful
but biden needs to ban fracking. it's destroying our drinking water. pence lies. 	Against	Favor	Neither	Non-Hateful
joebiden is the most ignorant racist person. anyone who supports joebiden is a complete moron! trump2020 thatsmypresident 	Favor	Against	Neither	Hateful
grant503 the airlines got a tax payer bail out, after begging trump to keep them paid, employed, and insured during shutdown. no where does it say no snacks or water.	Neutral mentions	Neither	Neither	Non-Hateful
thanks realdonaldtrump for the flag maga2020 	Favor	Neither	Neither	Non-Hateful
.peterbakernyt has covered four presidents. got to think that this might be one of the craziest day stories he ever wrote. 	Neither	Neither	Neither	Non-Hateful
atrupar trump didn't get putin's memo that hunter did nothing wrong.	Against	Neither	Neither	Non-Hateful
ucsdlibrary . everyone must register. rockthevote confirm the accuracy of your voter information. encourage friends family to do the same. vote vote early! usa whenweallvote voteblue2020 votebidenharristosaveamerica 	Neither	Favor	Neither	Non-Hateful
violent threats against biden and his supporters are getting worse by donnaprovencher 	Neither	Neutral mentions	Neither	Non-Hateful
hoping it over! can i check.. biden|harris potus elect 46 mr joe biden and vp elect kamala harris election elections2020 usaelection2020 uselectionresults bidenharristoendthisnightmare	Neither	Favor	Neither	Non-Hateful
time sure tells the true meaning of everything, joe biden, kamala harris and the democrat party are abt to go into extinction	Neither	Against	Neither	Non-Hateful
left-wing group justice democrats has done an ad trying to persuade disillusioned anti-bidenanti-all-of-the-above lefties to vote for lesser-of-two-evils joe biden. 	Neither	Mixed	Neither	Non-Hateful
kamalaharris should ask mikepence, who does trump owe $400,000,000.00 to and the answer is: what are russianoligarchs via deutschebank just guessing! jeopardy votehimout votebluetoendthisnightmare bidenharris2020 bidenharrislandslide2020 bidenharris2020tosaveamerica	Against	Favor	Neither	Non-Hateful
realdonaldtrump maga2020. god bless our president and first lady!!	Favor	Neither	Neither	Non-Hateful
crazy fake news tweets all over twitter about president trump violating the hatchact from democrat idiots who clearly never read the hatch act where it says the president and vice president are totally exempt from the hatch act trump maga2020landslidevictory	Favor	Neither	Neither	Hateful
joe biden and kamala harris have both updated their twitter bios to reflect their newest titles: president-elect and vice president-elect. 	Neither	Neutral mentions	Neither	Non-Hateful
former president barack obama says he could not be prouder to congratulate president-elect joe biden and vice president-elect kamala harris. 	Neither	Neutral mentions	Neither	Non-Hateful
who's ready for the debate tonight trump2020 trump2020tosaveamerica 	Favor	Neither	Neither	Non-Hateful
he's holding the economy hostage and hoping he can verbally bribe you into voting for him. he lies in every sentence. pelosi not negotiating in good faith, means he isn't negotiating in good faith. don't be fooled. votebidenharris2020 votebluetosaveamerica bidenharris2020 	Neither	Favor	Neither	Non-Hateful
i would very much like a pop momala tee bidenharris2020 	Neither	Favor	Neither	Non-Hateful
govnedlamont mike pence whitehouse we agree with pence! the majority of americans dead from covid are florida voters who tried to copy trump not wearing a mask! they are pathetic for not having the superior medical surveillance he has! we like voters who don't die! trumppence2020!	Favor	Neither	Neither	Non-Hateful
kamalaharris kamala. boy i wanted you as president, but this will do. you go girl. us two here are coveringshut them down covering your back. with you being so forthright and joe with his experience i know the two of you will quickly discourage proud boys and poor boys hehehe.	Neither	Favor	Neither	Non-Hateful
the united states of america is being held hostage by a mad man by the name of donald trump. i am so grateful to our neighbor's canada, also the united kingdom, france, australia and supporters around the world. we will take our country back! long live freedom! 	Against	Neither	Neither	Hateful
guess what i don't believe you. debates2020 trump2020 fakenewsmedia 	Favor	Neither	Neither	Non-Hateful
perlmutations .. ya cuz democrats are so much better.. dumbass trump2020 	Favor	Against	Neither	Hateful
robbystarbuck he has already had his fare share of time to prove his worth. he did nothing productive is his first 47 years, and he is worse now than ever. if your reading this, giving people second chances is a part of life, giving someone a 48th chance isn't a thing. so don't. trump2020	Favor	Against	Neither	Non-Hateful
ida skibenes i feel calm and optimistic. joe and kamala will win the popular vote and the electoral vote. trump will soon vanish.	Against	Favor	Neither	Non-Hateful
this is so amazing godblesspresidenttrump what a welcome. trump2020 	Favor	Neither	Neither	Non-Hateful
the guardian commentary keeps on giving: 	Neither	Neither	Neither	Non-Hateful
therock joebiden kamalaharris you should stick to acting! maga2020	Favor	Neutral mentions	Neither	Non-Hateful
barackobama joebiden kamalaharris thank you president obama! thank you for helping out your good friend joe and kamala! thank you!! you michelle rock!!!	Neither	Neutral mentions	Neither	Non-Hateful
the man is the president we need at this time in history. bidenharris2020 	Neither	Favor	Neither	Non-Hateful
it's amazing when white women in the suburbs see each other wearing the trump2020 gear. instant friends.	Neutral mentions	Neither	Neither	Non-Hateful
i guess theses actors will do anything to win! so sad .. this is quite gross to look at! trump2020landslide trump2020 canceldemocrats liberaldemocratsareajoke 	Favor	Against	Neither	Non-Hateful
be smart. votetrumpout2020 votethemallout2020 votebidenharris2020 voteblue2020 	Against	Favor	Neither	Non-Hateful
realjgoodwin jeffreyyyy hell they want to assassinate him even if he don't .. the whole thing this is about ,is not joe biden .. it's kamala harris and nasty nancy p.. let that sink in.. 	Neither	Mixed	Neither	Hateful
theview kamalaharris the view should not even be allowed on tv! useless show! cali kamala is a big mouth witch! make sure to ask her what she did for california! oh yeah, nothing, california going down the toilet! sleepy joe useless!	Neither	Against	Neither	Hateful
aloha! maui shows their support for president trump 2020trumplandslide trumppence2020 realdonaldtrump bucap004 	Favor	Neither	Neither	Non-Hateful
we all knew he had an earpiece.. democratsaredestroyingamerica trump2020 biden bidendementia voteredtosaveamerica votered2020 	Favor	Against	Neither	Hateful
trump downplayed a pandemic, mocked face masks and refused to endorse the measures needed to save lives. he is complicit in the death of over 200,000 americans. vote because lives depend on it vote 	Against	Neither	Neither	Non-Hateful
just found a thumb drive in a rest-stop bathroom that contains signed confessions from donald trump donald trump jr., in which both admit to being russian agents. maggienyt: please retweet this asap.	Against	Neither	Neither	Non-Hateful
tax records expose more than $21 million in highly unusual payments from the las vegas hotel donald trump owns with phil ruffin, routed through other trump companies and paid out in cash. 	Neutral mentions	Neither	Neither	Non-Hateful
newyorker who's confused bidenharris2020 simple	Neither	Favor	Neither	Non-Hateful
realdonaldtrump i just voted!! media not corrupt. the white house and it's occupants are! bidenharristosaveamerica voteblue2020	Against	Favor	Neither	Non-Hateful
something i actually agree with tedcruz about. it will be the end of the gop (whether biden wins or not). 	Against	Neutral mentions	Neither	Non-Hateful
realdonaldtrump we all wanted to see bidenharris2020	Neutral mentions	Favor	Neither	Non-Hateful
13thethe thegoodmenorg i hope more of the conservativesrepublicans (and other sleeping moderates) realize that we are at war to save the usa and to save the us constitution as it was written!!!! freedom scamdemicisover democratstheenemywithin democratshateamerica democratsarecorrupt maga2020	Favor	Against	Neither	Non-Hateful
bruh, it's hilarious and all, but we both know that you're a joke as is your liberal party. you will lose this time like always. maga2020 scotusnominee landslide keepamericagreat landslide2020 maga2020landslidevictory makeamericagreatagain silentmajority trump2020 	Favor	Neither	Neither	Non-Hateful
realdonaldtrump they are scared. joebidenistheswamp trump2020	Favor	Against	Neither	Non-Hateful
msnbc ngirrard why did senators and congress vote loopholes in that president trump was able to use did he find the loopholes they put in for their wealthy donors we need someone smart enough to find the loopholes, not previous senators dumb enough to put them in the tax law. votered2020	Favor	Neither	Neither	Non-Hateful
i'm watching harry potter series and realized draco malfoy reminds me of donald trump jr. 	Neither	Neither	Neither	Non-Hateful
just had to listen to an old white clerk defend himself against a white male customer drinking wine about his endorsement of biden. the customer said if you vote for trump you won't have to work a job like this anymore. i've been working here 10 years	Neutral mentions	Neutral mentions	Neither	Non-Hateful
erictrump joehidden a career politician millionaire i had no idea it paid that well maga2020	Favor	Against	Neither	Non-Hateful
kamalaharris definitely in my thoughts. bidenharris2020	Neither	Favor	Neither	Non-Hateful
realdonaldtrump uses military people who have risked death as props. now he's using a virus that he allowed to kill 204k of us and counting as a prop. vote him and his crime family out. biden2020	Against	Favor	Neither	Hateful
bensalango said he's voting for biden. ben, you do realize you're talking to people in a state that supports trump by about 70%, right	Favor	Neutral mentions	Neither	Non-Hateful
msresistfl peterdaszak you're right! here in wyoming we only had three options, thankfully kanye wasn't one. but they did put the republican party first.. i too made sure to solidly vote blue bidenharris2020	Against	Favor	Against	Non-Hateful
if trump does survive he can thank socialized medicine. trumpcovid19 trump2020	Against	Neither	Neither	Non-Hateful
trump2020 debateedition covid 19 (continuing): not to be a glorious yes person but to optimise the situation in best big picture interest (no matter how difficult the boss is). the only other option (if tht boss is oh so not workable) resign. am i right so, how come	Mixed	Neither	Neither	Non-Hateful
shannonrwatts this is being held at the same time we are expecting kamala harris and joe biden to speak this evening.	Neither	Neutral mentions	Neither	Non-Hateful
auforga davepurcell so he doesn't actually have covid, does he it's all a publicity stunt, to gain sympathy and pull attention from melania's fk christmas tape. voteblue2020 trumpvirusdeathtoll210k	Against	Favor	Neither	Non-Hateful
realdonaldtrump continuing to spread coronavirus bidenharris2020	Against	Favor	Neither	Non-Hateful
nikkihaley more damage, for sure! bidenharris2020	Neither	Favor	Neither	Non-Hateful
interesting fact: this is the first time in history voter fraud is the only campaign strategy taken by one side in a presidential race. true! maga2020 	Favor	Neither	Neither	Non-Hateful
last 4the night! bidenharris2020 fbr rt kelleyrose20 rubysoho26 reverendwarnock allmight85 gshelia1951 samdu7280 wildkat57 hammerit54 timinator2006 relierlespoints girl12philly 0000phe0000 fbr rt	Neither	Favor	Neither	Non-Hateful
36 more days. florida, pennsylvania, ohio, michigan, north carolina, arizona, wisconsin and iowa. we need you more than ever. our democracy depends on you. voteearly voteinperson2020 voteblue2020 votehimout	Against	Favor	Neither	Non-Hateful
i want this for my new yard sign. bidenharris2020 voteblue2020 kamala 	Neither	Favor	Neither	Non-Hateful
thehill y'all have promised this before.. we're gonna hold you to it this time around trump2020	Favor	Neither	Neither	Non-Hateful
i bet the mob won't be directed to burn down the cdc building by their leaders, curious. trump2020 godwins 	Favor	Neither	Neither	Non-Hateful
you got joe biden and kamala harris that want to hurt people with drugs by making them legal, encourage young women to be irresponsible and uncaring by making abortion legal nationwide, and glorify immorality which is an abomination before god. biden and harris remain stagnate	Neither	Against	Neither	Non-Hateful
nikkisixx oh this is what heroin does to a brain trump2020	Favor	Neither	Neither	Non-Hateful
the democrat party is in full meltdown! they lost the supreme court they nominated a zombie and backed him up with a woman laughing about smoking pot after having incarcerated thousands of blacks for minor drug offenses while not prosecuting connected people! trump2020 	Against	Favor	Neither	Hateful
help twitter fam, i need 50 more followers to get to 1000 !! wevapewevote trump2020	Favor	Neither	Neither	Non-Hateful
trump signs executive order that critics warn politicizes federal career civil service 	Neutral mentions	Neither	Neither	Non-Hateful
there seems to be a new poll that's very favorable to biden, that changed the 538 georgia projection from 4654 to 5050 whether or not it's an outlier that shouldnt be taken so seriously i do not know, but the state has been close to a tossup for as long as the model's been on.	Neither	Neutral mentions	Neither	Non-Hateful
my daughter's brownie troop is working on their democracy badge. she just cast her vote. bidenharris2020 	Neither	Favor	Neither	Non-Hateful
sexcounseling the hate is resonating from the head dems. it's jealousy, they can't identify it as that. trump has knocked every curve ball out of the park.	Favor	Against	Neither	Non-Hateful
2. implemented the joebiden team told debate commission absolutely not. they would not allow joebiden ears to be checked for listening devices. like what the hell is that about. checkjoesears realdonaldtrump trump2020 trump2024 trump2028	Favor	Against	Neither	Non-Hateful
bobbih1975 robren20 kdbuck69 patriotwestward krumply4 prayingactress joebiden lmao dddrrrr i gots to be watching the foozz ball izz so smart .. not much else in your sad life huhtrump2020	Favor	Neutral mentions	Neither	Non-Hateful
the question is: who did america bring into captivity in 1619, 401 years ago the bible confirms who we are, gen 15:13-14. so why won't you give us justice america jacob's troubles will afflict youjacob will be saved out of it trump2020 biden2020 400yrs 12tribesofisrael	Neutral mentions	Neutral mentions	Neither	Non-Hateful
biden or kamala won't commit to their policy on packing the court, joe's comment, vote for me i'll let you know on fracking joes flip flopping, kamala is against fracking! vote red!	Favor	Against	Neither	Non-Hateful
sensusancollins like when you voted for witnesses oh, that's right. or when you voted to protect a woman's right of self-determination (aka kavanaugh). senator, we are pissed and we are voting! (and i'm a cow) mepolitics timeforpasture selloutsuzy voteblue2020 collinsfrownyface byebye	Neither	Favor	Neither	Non-Hateful
