text	Trump	Biden	West	HOF
realjameswoods nedryun not good, democrats don't give a fuck about biden, they much prefer kamala. democrats will line up to impeach joe. winwin for them.	Neither	Mixed	Neither	Hateful
who won the debate today maga trump patriots americafirst kag magamedia maga2020 patriotsunited godblessamerica trump2020 blmprotest trumplandslidevictory2020 blm joebiden joebidenistheswamp liberalismisamentaldisorder 2020election 2020presidentialdebate	Favor	Against	Neither	Hateful
jacksonville residents, do you want people in our city government that align with a trump sycophant who was willing to expose us to covid for political gain or do you want effective change by people that will work for you vote out all the people that associate with this guy 	Against	Neither	Neither	Hateful
realdonaldtrump it's today! the day i go to the polls and vote for joe biden and kamala harris 	Against	Favor	Neither	Non-Hateful
govmikehuckabee foxandfriends foxnews willcain petehegseth jedediahbila realdonaldtrump joe biden and his bitch kamala harris are bad for america and the world! recount the 2020 votes by hand under court supervision!	Neutral mentions	Against	Neither	Hateful
avengers assemble baby!! some of the avengers will reunite for joe biden and kamala harris 	Neither	Neutral mentions	Neither	Non-Hateful
joe biden has an economic plan to help all americans. biden will not raise taxes on anyone making less than $400,000. he will raise the top individual income rate back to 39.6 percent. see more of joe's ideas here: buildbackbetter bidenharris2020	Neither	Favor	Neither	Non-Hateful
sykescharlie i've never seen our country in worse straights. even during war or depression we had confidence in our leaders. there were statesmen in office. no longer. we need to get rid of the republican president senate! voteblue2020	Against	Favor	Neither	Non-Hateful
just another day in the press room. voteblue2020 	Neither	Favor	Neither	Non-Hateful
i will now sit back, enjoy the rest of my twitter feed, block liberal bleeding turdwhipes of all shapes, sizes, religions and ethnicities .. and when november 3 comes, i will vote republican down the whole ticket magadragtheinterstate maga2020 turnamericared2020	Favor	Neither	Neither	Hateful
thesharpedge1 joe biden is compromised. special counsel!!!	Neither	Against	Neither	Non-Hateful
joebiden is the most ignorant racist person. anyone who supports joebiden is a complete moron! trump2020 thatsmypresident 	Favor	Against	Neither	Hateful
realdonaldtrump maga2020. god bless our president and first lady!!	Favor	Neither	Neither	Non-Hateful
crazy fake news tweets all over twitter about president trump violating the hatchact from democrat idiots who clearly never read the hatch act where it says the president and vice president are totally exempt from the hatch act trump maga2020landslidevictory	Favor	Neither	Neither	Hateful
who's ready for the debate tonight trump2020 trump2020tosaveamerica 	Favor	Neither	Neither	Non-Hateful
the united states of america is being held hostage by a mad man by the name of donald trump. i am so grateful to our neighbor's canada, also the united kingdom, france, australia and supporters around the world. we will take our country back! long live freedom! 	Against	Neither	Neither	Hateful
perlmutations .. ya cuz democrats are so much better.. dumbass trump2020 	Favor	Against	Neither	Hateful
it's amazing when white women in the suburbs see each other wearing the trump2020 gear. instant friends.	Neutral mentions	Neither	Neither	Non-Hateful
realjgoodwin jeffreyyyy hell they want to assassinate him even if he don't .. the whole thing this is about ,is not joe biden .. it's kamala harris and nasty nancy p.. let that sink in.. 	Neither	Mixed	Neither	Hateful
theview kamalaharris the view should not even be allowed on tv! useless show! cali kamala is a big mouth witch! make sure to ask her what she did for california! oh yeah, nothing, california going down the toilet! sleepy joe useless!	Neither	Against	Neither	Hateful
we all knew he had an earpiece.. democratsaredestroyingamerica trump2020 biden bidendementia voteredtosaveamerica votered2020 	Favor	Against	Neither	Hateful
realdonaldtrump uses military people who have risked death as props. now he's using a virus that he allowed to kill 204k of us and counting as a prop. vote him and his crime family out. biden2020	Against	Favor	Neither	Hateful
shannonrwatts this is being held at the same time we are expecting kamala harris and joe biden to speak this evening.	Neither	Neutral mentions	Neither	Non-Hateful
the democrat party is in full meltdown! they lost the supreme court they nominated a zombie and backed him up with a woman laughing about smoking pot after having incarcerated thousands of blacks for minor drug offenses while not prosecuting connected people! trump2020 	Against	Favor	Neither	Hateful
merrilldavis reuters you want to see dangerous, wait until sleepy joe is put down the ho becomes president the drunk becomes vp. and in case you're wondering, that's kamala pelosi 	Neither	Against	Neither	Hateful
realdonaldtrump wandavazquezg trump is the most insecure and immature human, america has ever witnessed. we all know this type of person. trump says terrible thing about others in an attempt to hurt them, this makes trump feel good about himself. i personally think he gets a high when he hurts others.	Against	Neither	Neither	Non-Hateful
the fight is not dems vs repubs it's super rich vs everybody else congress rich vs rich with a conscience trumpisnotabillionaire trumptaxcheat antichrist trump taxfraudtrump fakebillionairetrump antichristtrump trump2020landslidevictory trump2020 	Against	Neither	Neither	Hateful
saif10 jeapsx chasemx76 spectatorindex appreciate patriotic citizens such as yourself. vote maga2020	Favor	Neither	Neither	Non-Hateful
did this just say ridiculous forrest fires dumptrump2020 bidenharris2020 	Against	Favor	Neither	Non-Hateful
weird that trump and republicans have tried to limit mail-in voting. 	Against	Neither	Neither	Non-Hateful
ballot arrived! can't wait to fill it out and drop it off! vote votehimout2020 votebidenharris2020 voteblue2020 votebluetosaveamerica votebluedownballot joebiden kamalaharris	Against	Favor	Neither	Non-Hateful
trump and pence seem to be competing with each other to see who can kill the most supporters before election day	Against	Neither	Neither	Non-Hateful
trumpisatraitor bidenharris2020tosaveamerica breaking trending bidenharris bidenharris2020 debates2020 kimberly blacklivesmatter laughing my fucking ass off beech house of cards is collapsing 	Against	Favor	Neither	Non-Hateful
kamalaharris no you and creepy joe biden are the weak ones. trump2020	Favor	Against	Neither	Hateful
the realdonaldtrump coward's list i was going to tweet. it's all a trumpcovid lie to make himself look good avoid further debates. traitortrump trump2020 brunoswahine well done imdonemike 	Against	Neither	Neither	Hateful
ex-husband says jill biden 'betrayed' him by cheating on him with joebiden biden camp denies it joebidenisnotwell joebidenissenile bidenriots democrats liberalhypocrisy joebidenhasdementia unfittobepresident unfitforoffice trump2020	Favor	Against	Neither	Hateful
gofakeyourselfm kirstiealley horrible kamala will never be president !!!! neither will slow creepy joe !!!	Neither	Against	Neither	Hateful
2 kamala harris staffers have covid-19. let's hope at least one of them has been recently sniffed by creepy joe.	Neither	Against	Neither	Hateful
nikkistix55 what time does the fun begin nikki trump2020	Favor	Neither	Neither	Non-Hateful
now the question is how long before joe biden steps down and kamala harris is president, the plan to rig the election was just the beginning.. stay tuned theirs more to come!	Neither	Against	Neither	Non-Hateful
fck him! vote for joe and kamala! 50 cent endorses trump for president after seeing biden's alleged tax plans. 	Neutral mentions	Favor	Neither	Hateful
johnrobertsfox is a disgrace to what is left of respected journalists about 1% the rest are fakenewsmediaclowns and roberts has taken the plunge!! disgusting democratsarecorrupt maga2020	Favor	Neither	Neither	Hateful
magahive johntiegen tuckercarlson 9news youtube the democrats are literally the nazis. if they pack the courts and pass the 25th amendment joe biden and kamala harris will be in the exact same place that hindenburg and hitler were in. the 25th amendment is almost the same exact law hitler got passed in order to take power.	Neither	Against	Neither	Hateful
kiss all this goodbye if the dems get in. they hate us america they can't wait to take every good thing president realdonaldtrump did for us, away. i will crawl over broken glass on my hands knees to vote, in-person for president trump! trump2020 votetrumptosaveamerica 	Favor	Against	Neither	Hateful
the entire liberal apparatus has spent the last few months positioning biden, architect of the racialized carceral state, as the solution to police terror, violence deathdespite his inability unwillingness to offer a solution to police terror violence. lesser evil, tho!!! 	Neither	Mixed	Neither	Non-Hateful
acosta my sources tell me jim acosta is an asshole trump2020	Favor	Neither	Neither	Hateful
funder wow. all hes doing is trying to protect this country and our children. and all dummycrates care about is money and profit. maga2020 4moreyears	Favor	Neither	Neither	Hateful
joebiden ty joe biden for being ur president n thank u kamala harris for being our vice president god bless u both love 	Neither	Favor	Neither	Non-Hateful
imjdsharp gotjanie realdonaldtrump trump is the joke. do you not know how many times he has publicly lied to you well over 20,000 times. but a month before an election (which he's losing btw),he's giving away free therapeutics it's a lie. it's a campaign ploy. don't believe him. votehimout bidenharris2020	Against	Favor	Neither	Non-Hateful
dpwimm realdonaldtrump did you see that line of people biden's line is 4 karens and a brian wearing pink puss hats. trump2020	Favor	Against	Neither	Hateful
inthenoosphere nothing new. if you check craigslist in areas where there are going to be trump rallyevents about a week or two ahead you will find ads looking for energetic and enthusiastic 'actors' for $15 an hour. it's all just a big reality show for trump and co. trumpisafraud trumpvirus	Against	Neither	Neither	Non-Hateful
trump on the road to recovering from covid-19 infection . showing once again that hopes and prayers don't work . vote him out . bidenharris2020	Against	Favor	Neither	Non-Hateful
erictrump nypost joebiden 𝟚𝟘𝟘,𝟘𝟘𝟘 𝔸𝕄𝔼ℝ𝕀ℂ𝔸ℕ𝕊 𝔻𝔼𝔸𝔻 let's not lose sight of the fact that realdonaldtrump completely bungled the united states' coronavirus response. he failed miserably. the gig is up in 41 days. trump2020 trumpisanationaldisgrace trumpisaloser vote 	Against	Neutral mentions	Neither	Hateful
sandrab11120030 jim jordan this is who supports trump. trump would say.. this is a good person. scary.	Against	Neither	Neither	Non-Hateful
hey dummy, tell us what you're going to do as president. not how much of a reprobate trump is. oh, by the way what about hunter's russian problem care to answer that or do you want to bash trump more dementiajoe trump2020 	Favor	Against	Neither	Non-Hateful
joe biden and kamala harris will get the us to turn and focus on the issue of net zero by 2050, boris johnson says the uk pm says he will look forward to discussing the issue of climate change with the president-elect and vice-president-elect 	Neither	Neutral mentions	Neither	Non-Hateful
ms hotmess mikelbullard siva chanel icecube yet i bet your voting for joe biden who has by far the most racist history between the two.. makes everything you say irrelevant.. joe biden and kamala harris has some more harm to the black community than donald trump ever did.. 	Favor	Against	Neither	Non-Hateful
ihateitwhenmen1 realdonaldtrump shut the fuck up,what did obama do for 8 year hun,trump did more than obama in just 4 years	Favor	Neither	Neither	Hateful
jackytreeh0rn oregonian and they will again in a month. the gop will be weakened in the long term by blindly following trump.	Against	Neither	Neither	Non-Hateful
freedomworks yep, chinabiden.. needs more chinamoney to line those pockets before he retires! trump2020	Favor	Against	Neither	Hateful
justinyselonia funder its going to be interesting to see kamala harris and pelosi grease joe's ass with the 25th amendment next year. this is an example of why this will be so successful. at least we will all be screwed together. 	Neither	Against	Neither	Hateful
not well donalddeath 207,000 americans murdered by realdonaldtrump votehimout lyingdonald crookedtrump russianasset bidenharris2020 	Against	Favor	Neither	Hateful
asasz42032136 allenmartin316 rralstonagile stevethomma joe biden is a weak weak man in many ways. jimmy carter by half. 12 of america literally can't stand kamala today. women will hate on her viciously. enjoy the shit sandwich.	Neither	Against	Neither	Hateful
trumpstudents realdonaldtrump no fakenewsmediaclowns lyinsleepywiredupjoebiden probably played like excited telling everyone that trump2020 supporters switched to support biden .. nope	Favor	Against	Neither	Hateful
a united resistance is the only thing that can save our nation -follow all who: like rt comment realdonaldtrump is the biggest pos to ever exist in our entire multi-versal quantum construct it's time for him to go. resist biden2020 corruptdoj traitortrump 	Against	Favor	Neither	Hateful
trump rally starting right now - newsmax, oann, rsbn	Neutral mentions	Neither	Neither	Non-Hateful
at least 9 people at trump campaign rally in minnesota tested positive for covid-19, health officials say 	Neutral mentions	Neither	Neither	Non-Hateful
kkk lover realdonaldtrump election2020 trump2020 trumpisaracist racistinchief 	Against	Neither	Neither	Hateful
how many times did sleepyjoe just say white supremacist to his empty crowd on a battlefield where thousands of republicans were killed to free the slaves from the democrats not one word about blm just peaceful protesters. what a joke.maga2020	Favor	Against	Neither	Hateful
today's donation: helping democrats take back the senate in 2020. trumpcrimefamily taxfraudtrump trumptaxcheat bidenharris2020 votehimout vote votebluetosaveamerica 	Against	Favor	Neither	Hateful
olivianuzzi erinmperrine so let me get this straight. trump is an expert on a virus that he was infected with that he himself said was a hoax. which is utter nonsense. trump is a sullen, nefarious moron. i bet he will wear a mask now. 200k plus are dead because of his lies. voteblue bidenharris2020	Against	Favor	Neither	Hateful
ocp kuzmin teamtrump there is a traitor that could infiltrate the white house joe biden. he his son sold america out by working with china. then you have the evil kamala deville who waits on biden so that she can become the president. then say goodbye to freedom, and the america as we know it.	Neither	Against	Neither	Non-Hateful
graham won't take a covid test because he's too fearful to debate jaime harrison again. graham knows it will only hurt his chances for re-election further graham made his trump bed.. now he's lying in it.. lindseygrahamhascovid wtpblue onev1 	Neutral mentions	Neither	Neither	Non-Hateful
so remember the other night when realdonaldtrump said none of his rally's had been super-spreader events technically that's because his entire candidacy and presidency have been. wearamask americasgreatestmistake bidenharris2020	Against	Favor	Neither	Non-Hateful
realmattcouch i think it's really to remove biden so kamala can be president and she can have booty judge booty as vice president	Neither	Mixed	Neither	Hateful
two things are amazing: trump's hostile take-over of the gop and the subsequent nepotism nominating his family as advisers and gop swallowing this administration. what a swamp! 	Against	Neither	Neither	Non-Hateful
donald, you're not fooling anyone. 	Against	Neither	Neither	Non-Hateful
true canuck1 and that attitude is why the gop is going to get buried for a generation, motherfucker. bidenharris2020	Against	Favor	Neither	Hateful
chris christie tests positive for coronavirus. i am starting to think that the trump2020 team has been hit by a spy. someone that had the chinesevirus got in close to give to the team. would chrischristie do that 	Neutral mentions	Neither	Neither	Hateful
michelle obama urges americans to vote for joe biden in new campaign video let's be honest. michelle has no respect for doddering biden, but if realdonaldtrump wins, the criminal investigation into barack's treasonous actions will continue.	Neutral mentions	Against	Neither	Non-Hateful
potus this wasn't a good hire sir, you know it, i know it, all of america knows it. i assume you'll fix this on november 4th. maga trump2020 	Favor	Neither	Neither	Non-Hateful
thread 1) we shouldn't trust what politicians say and this whole rbg vacancy is proof positive. filltheseat fillthevacancy trump2020 maga cocainemitch	Favor	Neither	Neither	Hateful
teamtrump president trump please don't let this son of a bitch crazy creepy pedophile motherfucker of joe biden and his brown paper bag bitch of kamala harris wining this elections do not let them win. theirs fraud! we're standing by your side commander-in-chief	Favor	Against	Neither	Hateful
pamelam41583211 frankamari2 realdonaldtrump senategop housegop yes. brainwashed. watch the video! joe's doing most of the talking. fact. kamala harris talking about joe being a racist but now he's a great guy. all facts. all things that you can research. you should try it. it's amazing!	Neutral mentions	Mixed	Neither	Non-Hateful
ingrahamangle does joe have any clue as to how fast his party will be taking him out if he wins such a farce. he would be president for maybe a day, maybe a week before they claim he has dementia, is unfit and they advance that giggling nit wit kamala.	Neither	Against	Neither	Hateful
ggreenwald this idea that everyone can relax and go to sleep and stop paying attention once the good parents, joe kamala, are in charge what almost nobody has this idea! libs and nat sec rs are not the majority of folks voting against trump. your framing is so far off	Against	Neutral mentions	Neither	Non-Hateful
this is bs. if he repeals the trump tax cut it will in fact increase taxes for everyone 	Favor	Neither	Neither	Hateful
realtina40 ampfest usa love your enthusiasm and energy tina. you are an inspiration. trump2020	Favor	Neither	Neither	Non-Hateful
we know what biden supports and we know what you support. bidenharris2020 trumpvirusdeathtoll211k 	Against	Favor	Neither	Non-Hateful
everyone interested us politics the revulsion that was donald trump's 2016 win should watch this report all about black voter suppression. trumpmustgo trumpisaracist bidenharris2020 deterringdemocracy deterrence	Against	Favor	Neither	Non-Hateful
cryptogainz1 the whole story seems janky to begin with. seems like trump is trying to play the 2016 dnc leak all over again. i'm not buying it. pushing fake news is just as bad as censorship. whichever it is, both have horrible implications.	Against	Neither	Neither	Non-Hateful
kamalaharris .. or saying only 6% of deaths actually from covid bullshit on both twitter and fox. the us president dismissing 198k dead americans is disgusting. you had a chance to rip trumppence a new one in the debate, and failed dismally. i still volunteerdonate for you, but pissed!	Neither	Mixed	Neither	Hateful
wanna make a mandate and say it's the law huh looks like you break your own laws.oh wait, that's cause it's not a law, you nipple ring wearing asshole!! what law is not murdering innocent people or committing small scale genocide. trump2020 drainthenyswamp cuomoisamurderer 	Favor	Neither	Neither	Hateful
realdonaldtrump let's get this to 30 million views!!! trump2020 redwave	Favor	Neither	Neither	Non-Hateful
joebiden they do.. the top 10% pays 70% of all taxes. interesting that you will be taxing everyone making over $400,000. who makes $400,000 oh yes the president. you're losing it man have fun in the ring with big don tonight! trump2020	Favor	Against	Neither	Non-Hateful
seanhannity speakerpelosi is a vile human being! longlivetrump maga2020	Favor	Neither	Neither	Hateful
congratulations to our 46th president, joe biden, and vice president, kamala harris, on their victory today! 	Neither	Favor	Neither	Non-Hateful
can't wait to see biden dragggggg the fat toad tonight! bidenharris2020	Against	Favor	Neither	Hateful
we the people want to know.. wherestheriver wherestheriver wherestheriver wherestheriver wherestheriver wherestheriver wherestheriver wherestheriver votebidenharristoendthisnightmare votebidenharristosaveamerica voteblue2020 joebiden joebiden kamalaharris 	Against	Favor	Neither	Non-Hateful
trinitymustache bloomberg did the same. people raved about his ads skewering trump but all the ones that got air time on national tv were about how great bloomberg was.	Neutral mentions	Neither	Neither	Non-Hateful
leave it up to realdonaldtrump to put a smile on my face regardless of how bad my day was! trump2020	Favor	Neither	Neither	Non-Hateful
realdonaldtrump probably without a mask too.. trumpvirus trumpliedpeopledied maga2020 voteblue 	Against	Favor	Neither	Non-Hateful
trumptaxes bbnaijafinale trumpmeltdown biden2020 i pray you each get wellness help big churches have free classes on emotional health and transforming your life ingrahamangle raymondarroyo 	Against	Favor	Neither	Non-Hateful
realdonaldtrump cause you mr president realdonaldtrump. did not practice what you preached in the first debate. you know stand back and stand by. we're going west kanye2020 	Against	Neither	Favor	Non-Hateful
